x,y,Prediction,Target,Hits,Hits Labeled
-33.08677,68.78855,1,1,1,Correct Predictions
14.881998,28.731028,3,3,1,Correct Predictions
-1.1398354,-34.655407,2,2,1,Correct Predictions
54.4494,17.617088,2,2,1,Correct Predictions
-99.560425,-19.464373,4,4,1,Correct Predictions
-68.72308,-23.366613,3,3,1,Correct Predictions
-9.234088,-8.064781,1,1,1,Correct Predictions
-23.344025,3.770834,1,1,1,Correct Predictions
2.9047143,-78.26742,4,4,1,Correct Predictions
23.811611,-44.420177,3,3,1,Correct Predictions
-72.85288,0.27851915,3,3,1,Correct Predictions
32.08337,73.413055,3,3,1,Correct Predictions
29.59557,84.83194,3,3,1,Correct Predictions
11.322884,40.76351,3,3,1,Correct Predictions
-38.357872,73.29484,1,1,1,Correct Predictions
65.61688,72.831245,3,3,1,Correct Predictions
-35.961,38.147163,1,1,1,Correct Predictions
-90.42474,48.591507,1,1,1,Correct Predictions
-87.2539,22.00261,1,1,1,Correct Predictions
-61.596992,48.425465,1,1,1,Correct Predictions
20.570562,-79.55011,3,3,1,Correct Predictions
32.492958,-32.465523,2,2,1,Correct Predictions
-8.191694,-56.115105,4,4,1,Correct Predictions
66.9036,-59.78003,2,2,1,Correct Predictions
28.757116,-59.54246,2,2,1,Correct Predictions
27.632843,-88.62876,2,3,0,Incorrect Predictions
49.433533,81.91464,3,3,1,Correct Predictions
35.17562,71.42972,3,3,1,Correct Predictions
57.69837,-13.99811,2,2,1,Correct Predictions
-3.9343817,-29.200106,2,2,1,Correct Predictions
58.97324,74.260956,3,3,1,Correct Predictions
29.165686,54.57238,3,3,1,Correct Predictions
4.88997,-13.681591,2,2,1,Correct Predictions
-2.0174043,-16.022844,2,2,1,Correct Predictions
-82.150764,38.594364,1,1,1,Correct Predictions
9.616738,-60.18532,3,3,1,Correct Predictions
65.96294,41.17632,3,3,1,Correct Predictions
-30.01458,-56.834393,4,4,1,Correct Predictions
2.837708,30.548244,2,2,1,Correct Predictions
-10.099389,-10.905823,2,2,1,Correct Predictions
61.289616,-3.7934499,2,2,1,Correct Predictions
41.017097,-69.092964,2,2,1,Correct Predictions
-27.924963,-33.290817,4,4,1,Correct Predictions
-21.651289,-18.636196,2,2,1,Correct Predictions
40.34921,64.67007,3,3,1,Correct Predictions
53.51144,74.7666,3,3,1,Correct Predictions
-42.731487,31.195463,1,1,1,Correct Predictions
-83.25454,-48.596478,4,4,1,Correct Predictions
52.035084,-70.755196,3,3,1,Correct Predictions
-14.0945635,-12.1654625,2,2,1,Correct Predictions
86.286674,-41.791412,2,2,1,Correct Predictions
2.555701,91.2195,3,3,1,Correct Predictions
60.24785,20.987762,2,2,1,Correct Predictions
71.23732,61.56964,3,3,1,Correct Predictions
-47.05204,12.918357,1,1,1,Correct Predictions
15.430377,-37.490013,2,2,1,Correct Predictions
41.082222,27.563631,3,2,0,Incorrect Predictions
76.869026,-29.77695,2,2,1,Correct Predictions
37.44404,-25.300186,3,3,1,Correct Predictions
58.300613,7.619059,2,2,1,Correct Predictions
32.225285,78.34331,3,4,0,Incorrect Predictions
32.862446,1.9253105,3,3,1,Correct Predictions
71.68181,-24.598783,2,2,1,Correct Predictions
-65.10492,-46.677937,4,4,1,Correct Predictions
-66.93901,27.809656,1,1,1,Correct Predictions
-69.674835,-76.91321,4,4,1,Correct Predictions
-7.94855,64.16314,3,3,1,Correct Predictions
-36.87641,45.613205,1,1,1,Correct Predictions
44.496796,-30.490196,2,2,1,Correct Predictions
-38.741806,-54.765335,4,4,1,Correct Predictions
-22.46289,-78.58868,4,4,1,Correct Predictions
12.8838625,-17.187437,2,2,1,Correct Predictions
21.838802,33.092995,3,1,0,Incorrect Predictions
-34.114677,-85.27906,4,4,1,Correct Predictions
-54.82291,45.675568,1,1,1,Correct Predictions
-22.205126,14.901592,1,1,1,Correct Predictions
-61.722218,-12.952998,3,3,1,Correct Predictions
-71.006,-1.1944047,3,3,1,Correct Predictions
27.286942,62.04382,3,3,1,Correct Predictions
-38.078197,-65.05263,4,4,1,Correct Predictions
7.8116746,35.208073,3,3,1,Correct Predictions
54.841816,-73.10632,3,3,1,Correct Predictions
72.74919,47.095284,3,3,1,Correct Predictions
-5.59702,-63.17203,2,2,1,Correct Predictions
-4.771217,4.604404,3,3,1,Correct Predictions
60.780655,49.713818,3,3,1,Correct Predictions
-53.489708,46.062202,1,1,1,Correct Predictions
-19.077137,-20.774103,2,2,1,Correct Predictions
-56.222893,-51.548645,1,4,0,Incorrect Predictions
-16.021168,-90.83932,4,4,1,Correct Predictions
-15.662457,17.2205,3,3,1,Correct Predictions
-0.5867872,-95.24856,4,4,1,Correct Predictions
48.957844,-7.2740545,2,2,1,Correct Predictions
-56.70537,69.5293,1,1,1,Correct Predictions
-44.795757,26.191246,1,1,1,Correct Predictions
72.4748,36.547207,3,2,0,Incorrect Predictions
-63.58986,41.275974,1,1,1,Correct Predictions
-24.273777,61.07299,1,1,1,Correct Predictions
60.027813,12.362581,2,2,1,Correct Predictions
39.00225,34.46468,3,3,1,Correct Predictions
-76.469864,14.940985,1,1,1,Correct Predictions
-37.461983,-88.788734,4,4,1,Correct Predictions
-74.28308,-9.217998,3,3,1,Correct Predictions
34.352283,11.432919,2,3,0,Incorrect Predictions
-9.650628,70.74018,4,4,1,Correct Predictions
-43.706646,-93.93293,4,4,1,Correct Predictions
-38.40006,-91.92018,4,4,1,Correct Predictions
-69.26835,28.02825,1,1,1,Correct Predictions
60.753784,63.631256,3,3,1,Correct Predictions
75.38633,-3.7186038,2,2,1,Correct Predictions
6.711152,-21.371601,2,2,1,Correct Predictions
84.8813,34.692875,3,3,1,Correct Predictions
79.79238,5.0425396,2,2,1,Correct Predictions
69.3214,-19.826212,2,2,1,Correct Predictions
-37.444675,21.251562,1,1,1,Correct Predictions
67.77591,-21.216385,2,2,1,Correct Predictions
12.483547,65.85044,4,4,1,Correct Predictions
-66.88146,49.11814,1,3,0,Incorrect Predictions
-65.832924,64.46746,1,1,1,Correct Predictions
-66.89398,22.419392,1,1,1,Correct Predictions
53.884235,-48.578583,2,2,1,Correct Predictions
24.423183,16.59086,3,3,1,Correct Predictions
-2.6000347,41.767162,2,2,1,Correct Predictions
10.50895,-21.367973,2,2,1,Correct Predictions
-85.412285,47.11237,1,1,1,Correct Predictions
-31.367355,-9.87803,3,3,1,Correct Predictions
4.879811,-93.66239,4,4,1,Correct Predictions
75.854034,-26.023655,2,2,1,Correct Predictions
46.207867,71.366066,3,3,1,Correct Predictions
-17.457613,-22.377722,2,2,1,Correct Predictions
-38.586308,62.83582,1,1,1,Correct Predictions
-22.221342,14.921401,1,1,1,Correct Predictions
74.737755,16.174442,3,3,1,Correct Predictions
10.140797,-39.643585,2,2,1,Correct Predictions
42.18684,-70.98782,2,2,1,Correct Predictions
-37.79079,-35.335094,4,4,1,Correct Predictions
64.82884,74.981834,3,3,1,Correct Predictions
-41.779713,17.26947,1,1,1,Correct Predictions
27.57971,-45.053,2,1,0,Incorrect Predictions
-39.762676,61.943703,1,1,1,Correct Predictions
-91.433365,-8.030633,3,3,1,Correct Predictions
12.875892,-55.003178,3,3,1,Correct Predictions
77.88807,-10.146912,2,2,1,Correct Predictions
44.952892,61.13525,3,3,1,Correct Predictions
-62.87189,-3.0539384,3,3,1,Correct Predictions
50.13506,39.77314,3,3,1,Correct Predictions
-81.93466,22.586061,1,1,1,Correct Predictions
-85.48607,-8.871312,3,3,1,Correct Predictions
-73.19043,55.133137,1,1,1,Correct Predictions
-35.36312,11.714129,1,1,1,Correct Predictions
-40.613926,62.63962,1,1,1,Correct Predictions
65.88725,19.022081,3,3,1,Correct Predictions
-0.3293954,-76.291214,4,4,1,Correct Predictions
-12.594843,5.198075,3,3,1,Correct Predictions
43.119957,-12.188208,2,2,1,Correct Predictions
29.106161,61.540634,3,3,1,Correct Predictions
31.231955,-20.012114,3,3,1,Correct Predictions
-19.810102,85.55047,3,3,1,Correct Predictions
